"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6H2R9","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6H2R9","0.119","0.0","0.741","0.0","0.0",,"0.0","0.852","0.404"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6UB95","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6UB95","0.046","0.0","0.85","0.111","0.0",,"0.0","0.861","0.0"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B5Z1Q4","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B5Z1Q4","0.127","0.0","0.807","0.108","0.0",,"0.0","0.863","0.198"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6SG99","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6SG99","0.119","0.0","0.741","0.0","0.0",,"0.0","0.865","0.456"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6QJQ0","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6QJQ0","0.0","0.0","0.848","0.0","0.0",,"0.144","0.882","0.172"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6C2G3","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6C2G3","0.0","0.238","0.824","0.0","0.0",,"0.0","0.886","0.222"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6QJE5","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6QJE5","0.127","0.0","0.859","0.108","0.0",,"0.0","0.899","0.195"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6ITF9","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6ITF9","0.127","0.0","0.861","0.108","0.0",,"0.0","0.901","0.198"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6HS74","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6HS74","0.0","0.237","0.861","0.0","0.0",,"0.0","0.914","0.262"
"pp","4565.A0A077RP15 (pp) 4565.W5C1H4","false","pp","4565.A0A077RP15 (pp) 4565.W5C1H4","0.0","0.0","0.927","0.108","0.0",,"0.0","0.946","0.244"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6MQX3","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6MQX3","0.264","0.0","0.882","0.119","0.0",,"0.144","0.959","0.475"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6H7J7","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6H7J7","0.089","0.0","0.188","0.276","0.0",,"0.0","0.417","0.0"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B5ZXW5","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B5ZXW5","0.0","0.0","0.187","0.182","0.0",,"0.0","0.42","0.199"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6NPR7","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6NPR7","0.0","0.0","0.187","0.182","0.0",,"0.0","0.42","0.199"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6H0Y4","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6H0Y4","0.0","0.0","0.404","0.077","0.0",,"0.0","0.426","0.0"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B5YWS2","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B5YWS2","0.0","0.0","0.404","0.077","0.0",,"0.0","0.426","0.0"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6HUF2","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6HUF2","0.0","0.0","0.279","0.143","0.0",,"0.0","0.428","0.15"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6PT75","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6PT75","0.34","0.0","0.0","0.141","0.0",,"0.0","0.476","0.15"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6C4A6","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6C4A6","0.0","0.0","0.418","0.145","0.0",,"0.0","0.481","0.0"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6DME7","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6DME7","0.0","0.0","0.418","0.145","0.0",,"0.0","0.481","0.0"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6MVK3","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6MVK3","0.0","0.0","0.418","0.145","0.0",,"0.0","0.481","0.0"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6C4J6","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6C4J6","0.102","0.0","0.187","0.182","0.0",,"0.0","0.504","0.268"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6ISC8","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6ISC8","0.0","0.0","0.391","0.145","0.0",,"0.0","0.51","0.136"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6RE99","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6RE99","0.0","0.0","0.391","0.145","0.0",,"0.0","0.51","0.136"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B5YSX4","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B5YSX4","0.099","0.0","0.19","0.37","0.0",,"0.0","0.518","0.076"
"pp","4565.A0A077RR99 (pp) 4565.W5C967","false","pp","4565.A0A077RR99 (pp) 4565.W5C967","0.099","0.0","0.19","0.37","0.0",,"0.0","0.518","0.076"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6DBD9","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6DBD9","0.06","0.0","0.419","0.188","0.0",,"0.0","0.523","0.052"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6TR14","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6TR14","0.062","0.0","0.419","0.188","0.0",,"0.0","0.524","0.052"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6TQ90","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6TQ90","0.0","0.0","0.517","0.079","0.0",,"0.0","0.536","0.0"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6C007","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6C007","0.0","0.0","0.559","0.068","0.0",,"0.0","0.571","0.0"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6JF76","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6JF76","0.0","0.0","0.524","0.143","0.0",,"0.0","0.578","0.05"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6D496","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6D496","0.0","0.0","0.524","0.143","0.0",,"0.0","0.578","0.05"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B5ZUB7","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B5ZUB7","0.0","0.0","0.524","0.143","0.0",,"0.0","0.578","0.05"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6KLL2","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6KLL2","0.0","0.0","0.524","0.143","0.0",,"0.0","0.578","0.05"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6KMC0","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6KMC0","0.0","0.0","0.509","0.199","0.0",,"0.0","0.589","0.0"
"pp","4565.A0A077RR99 (pp) 4565.W5CZ39","false","pp","4565.A0A077RR99 (pp) 4565.W5CZ39","0.0","0.0","0.509","0.199","0.0",,"0.0","0.589","0.0"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6B968","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6B968","0.0","0.0","0.583","0.074","0.0",,"0.0","0.597","0.0"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6DNE5","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6DNE5","0.0","0.0","0.607","0.071","0.0",,"0.0","0.619","0.0"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6KHW6","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6KHW6","0.0","0.0","0.603","0.13","0.0",,"0.0","0.639","0.0"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6LT29","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6LT29","0.0","0.0","0.603","0.13","0.0",,"0.0","0.639","0.0"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6SP41","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6SP41","0.061","0.0","0.595","0.153","0.0",,"0.0","0.649","0.0"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6CEK9","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6CEK9","0.049","0.0","0.559","0.233","0.0",,"0.0","0.65","0.0"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6JH59","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6JH59","0.05","0.0","0.622","0.115","0.0",,"0.0","0.654","0.0"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6TN60","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6TN60","0.049","0.0","0.622","0.122","0.0",,"0.0","0.656","0.0"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6TIK5","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6TIK5","0.041","0.0","0.625","0.067","0.0",,"0.0","0.675","0.146"
"pp","4565.A0A077RR99 (pp) 4565.A0A2X0TNX3","false","pp","4565.A0A077RR99 (pp) 4565.A0A2X0TNX3","0.0","0.0","0.595","0.14","0.0",,"0.0","0.679","0.155"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6DF78","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6DF78","0.0","0.0","0.677","0.069","0.0",,"0.0","0.688","0.047"
"pp","4565.A0A077RR99 (pp) 4565.A0A3B6QGV6","false","pp","4565.A0A077RR99 (pp) 4565.A0A3B6QGV6","0.159","0.0","0.627","0.0","0.0",,"0.0","0.709","0.149"
