"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6GVV0","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6GVV0","0.122","0.0","0.189","0.143","0.0",,"0.0","0.402","0.136"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6LLR8","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6LLR8","0.153","0.0","0.246","0.157","0.0",,"0.0","0.422","0.054"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6CDY2","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6CDY2","0.246","0.0","0.184","0.14","0.0",,"0.0","0.424","0.0"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6IUD4","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6IUD4","0.246","0.0","0.184","0.14","0.0",,"0.0","0.424","0.0"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6C6W1","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6C6W1","0.246","0.0","0.184","0.14","0.0",,"0.0","0.424","0.0"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B5ZX27","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B5ZX27","0.246","0.0","0.184","0.14","0.0",,"0.0","0.424","0.0"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6JG46","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6JG46","0.0","0.0","0.397","0.092","0.0",,"0.0","0.429","0.0"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6H217","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6H217","0.0","0.0","0.397","0.092","0.0",,"0.0","0.429","0.0"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6SJJ7","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6SJJ7","0.0","0.0","0.397","0.092","0.0",,"0.0","0.429","0.0"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6FN19","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6FN19","0.104","0.0","0.185","0.148","0.0",,"0.0","0.436","0.201"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6HWB6","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6HWB6","0.104","0.0","0.185","0.148","0.0",,"0.0","0.436","0.201"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6IL45","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6IL45","0.061","0.0","0.391","0.068","0.0",,"0.0","0.442","0.078"
